participant_id,condition,sp1,sp2,sp3,sp4,inv1,inv2,inv3,realism1,realism2,realism3,cybersickness,age,gender,vr_experience
P001,HMD,6,5,6,7,5,6,7,4,5,6,2,24,F,novice
P002,HMD,7,6,7,6,6,7,6,5,6,5,1,28,M,experienced
P003,CAVE,5,4,5,5,4,5,5,3,4,4,3,31,F,novice
P004,HMD,6,7,6,7,7,6,7,6,7,6,2,22,M,experienced
P005,CAVE,4,3,4,4,3,4,4,2,3,3,4,35,F,novice
P006,HMD,7,7,7,6,6,7,7,5,6,7,1,26,M,experienced
P007,CAVE,5,5,6,5,5,5,6,4,5,5,3,29,F,intermediate
P008,HMD,6,6,5,6,5,6,5,5,5,6,2,33,M,novice
P009,HMD,7,6,7,7,7,6,7,6,6,7,1,21,F,experienced
P010,CAVE,4,4,5,4,4,4,5,3,4,4,4,38,M,novice
P011,HMD,6,5,6,6,5,6,6,4,5,5,2,27,F,intermediate
P012,CAVE,5,5,5,5,5,5,5,4,4,5,3,30,M,intermediate
P013,HMD,7,7,6,7,6,7,6,6,7,6,1,23,F,experienced
P014,HMD,5,6,6,5,6,5,6,5,6,5,2,32,M,novice
P015,CAVE,3,3,4,3,3,3,4,2,3,3,5,40,F,novice
P016,HMD,6,7,7,6,7,6,7,6,6,7,1,25,M,experienced
P017,CAVE,5,4,5,5,4,5,5,3,4,4,3,34,F,intermediate
P018,HMD,7,6,6,7,6,7,6,5,6,6,2,28,M,intermediate
P019,HMD,6,6,7,6,6,6,7,5,5,6,1,22,F,experienced
P020,CAVE,4,4,4,4,4,4,4,3,3,4,4,36,M,novice
P021,HMD,7,7,7,7,7,7,7,7,7,7,1,24,F,experienced
P022,CAVE,4,5,5,4,5,4,5,3,4,5,3,29,M,intermediate
P023,HMD,5,5,6,5,5,5,6,4,5,5,2,31,F,novice
P024,HMD,6,6,6,6,6,6,6,5,6,6,2,26,M,intermediate
P025,CAVE,3,3,3,3,3,3,3,2,2,3,5,42,F,novice
P026,HMD,7,6,7,7,6,7,7,6,6,7,1,23,M,experienced
P027,CAVE,5,5,6,5,5,5,6,4,5,5,3,33,F,intermediate
P028,HMD,6,7,6,6,7,6,6,6,7,6,2,27,M,intermediate
P029,HMD,7,7,7,6,7,7,6,6,7,7,1,21,F,experienced
P030,CAVE,4,4,5,4,4,4,5,3,4,4,4,37,M,novice
